MOTIVO CHAMADO,NOME,CPF,SEXO,DATA NASCIMENTO,DATA ADMISSAO,NOME DA MAE,ESTADO CIVIL,PARENTESCO,ESTUDANTE,MATRICULA EMPRESA,CNPJ CLIENTE,CARTAO SUS,EMAIL,CEP,ENDERECO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,SALARIO,RG,CARGO,TELEFONE,CELULAR,DATA INICIO VIGENCIA,CODIGO PLANO,FIM VIGENCIA,PRAZO ESTAGIO/J APRENDIZ (MESES),C.CUSTO,DEPARTAMENTO,SETOR,TIPO EXTENSAO,INICIO PLANO EXTENSAO,FIM PLANO EXTENSAO,INICIO EXPEDIENTE,FIM EXPEDIENTE,PCD,CPF TITULAR,PLANO EXTENSAO,DESCRICAO,DATA ENTRELACE,CNPJ A TRANSFERIR,DEPENDENTE TITULAR,COD. OPERADORA
Odontologia,Amanda Morris,748-40-0954,M,1962-06-16,2008-05-12,Robert Garcia,Solteiro(a),Mãe,Sim,9837723,1969125452291238,1234567890123456,ewhite@example.org,23655,83563 Andrew Path Suite 389,61559,Apt. 894,Moinhos de Vento,Hendersonmouth,LA,3737.484461304013,5863252580,Tourism officer,857-797-0113x063,534-246-2849,2003-10-17,8,2089-07-02,9,CCusto1,Vendas,Setor C,Tipo1,2003-09-10,2068-01-03,12:46:14,02:00:32,Sim,606-48-3158,Plano A,Writer rest professor least bed health environment.,2016-07-13,1297558776179356,Sim,Operadora2
Consulta Médica,Robin Brown,489-92-2388,M,1943-07-03,2023-02-01,Lucas Watson,Casado(a),Cônjuge,Sim,3144352,3772171854935777,9876543210987654,mcdowellmichael@example.org,92577,08250 Barnes Flat,834,Suite 688,Centro,North Michealmouth,CT,3067.214679045965,5303083946,Structural engineer,329-366-3352,846.936.6449x79257,2000-06-18,3,2091-05-26,8,CCusto3,Vendas,Setor B,Tipo2,2020-07-24,2094-08-09,06:02:22,00:40:41,Sim,607-54-3966,Plano A,Discover style interesting player not treat seven current.,2007-11-28,3797459465097454,Não,Operadora2
Exame Laboratorial,Misty Joyce,709-99-6719,F,1935-11-26,2011-08-09,Kelsey Stokes,Solteiro(a),Pai,Não,4232508,3187119080069000,9876543210987654,gardnerrodney@example.net,21482,068 Clark Meadows Suite 565,031,Apt. 402,Copacabana,North Nicole,PW,1844.0895509807817,4999066745,"Designer, furniture",001-578-711-1809x731,001-925-472-9545x878,2012-10-18,9,2049-09-14,7,CCusto2,Financeiro,Setor B,Tipo3,2012-04-21,2097-06-05,15:43:12,06:35:43,Sim,745-70-9808,Plano C,Month federal front direction.,2013-11-16,8178785066420641,Não,Operadora3
Odontologia,Wendy Hansen,406-15-0831,M,1914-06-05,2011-02-27,Nicole Long,Solteiro(a),Pai,Não,2263268,5253333783639775,9876543210987654,frankmartin@example.net,95043,18203 Kimberly Courts Apt. 754,908,Suite 519,Moinhos de Vento,Brianville,SD,2642.4028913661687,7106013974,Media buyer,945.207.1467,(953)271-8097x176,2013-11-25,9,2058-04-02,1,CCusto1,Vendas,Setor B,Tipo3,2006-10-12,2090-02-15,09:05:24,13:04:22,Não,599-92-0414,Plano B,Style finish age off decision last.,2010-03-24,9744662375889429,Sim,Operadora3
Exame Laboratorial,Ryan Wilson,700-78-3012,M,2023-03-04,2004-05-12,Lawrence White,Casado(a),Pai,Sim,5548835,204124097647189,9876543210987654,michael67@example.net,84027,929 Jennifer Views Apt. 293,57071,Apt. 193,Centro,Bakerborough,SC,1927.4437712927681,5089439888,"Accountant, chartered management",864.876.4571x227,653.735.1644,2007-04-10,2,2050-07-28,11,CCusto1,Vendas,Setor B,Tipo1,2020-06-25,2062-09-15,13:15:54,08:42:55,Sim,340-36-5858,Plano B,Many it strategy fire.,2023-04-18,6213124798840536,Não,Operadora2
Consulta Médica,Michelle Edwards,537-18-2317,M,1939-12-08,2011-09-04,Richard Cooper,Viúvo(a),Mãe,Sim,3221256,9086465924977291,1234567890123456,michael09@example.com,10947,2052 Sydney Groves,08114,Apt. 406,Copacabana,West Jennifer,TN,1615.5159579461788,4266913630,Accounting technician,+1-291-461-5567x5961,(368)414-4372,2000-06-26,8,2062-07-03,4,CCusto3,Financeiro,Setor B,Tipo1,2012-11-14,2040-09-28,04:29:31,02:47:07,Sim,566-63-0303,Plano C,Get happy take out better either news.,2008-01-02,8746932159671961,Sim,Operadora1
Exame Laboratorial,Kevin Bird,372-98-7497,F,1926-06-16,2011-09-13,Brian Morris,Viúvo(a),Filho(a),Sim,8253205,9917069286808870,1234567890123456,rebecca65@example.com,58417,546 Catherine Square Suite 095,4774,Suite 579,Copacabana,New Elizabeth,WI,2201.243406822665,8424722236,Hydrographic surveyor,(572)376-2339x13541,5424617405,2015-09-26,5,2083-08-23,9,CCusto1,Financeiro,Setor C,Tipo3,2011-01-07,2032-12-07,10:15:07,04:46:45,Não,837-81-2209,Plano B,All rise truth last business order.,2003-01-26,6743548347671749,Sim,Operadora3
Odontologia,Heather Jones,244-10-9992,F,1945-03-22,2000-10-05,Jon Rice,Casado(a),Pai,Sim,6542667,357508244273068,9876543210987654,claudiawalker@example.com,59471,22272 Eric Brook Apt. 617,8574,Suite 887,Savassi,Carolland,RI,1999.862961027185,3755909976,"Investment banker, corporate",662-949-6754x1110,554.403.0794,2000-03-13,8,2093-08-19,1,CCusto1,Financeiro,Setor B,Tipo3,2001-07-11,2055-08-15,20:12:11,19:44:55,Sim,587-91-9620,Plano B,Sense law early policy adult somebody statement degree.,2010-12-31,5453575152608015,Sim,Operadora2
Consulta Médica,Sandra Sanders,698-77-3391,F,1987-10-07,2019-10-04,Jeffery Oconnell,Solteiro(a),Filho(a),Sim,3730742,3220715276848304,1234567890123456,anthonyburgess@example.net,08514,800 Jaime Plain,3282,Apt. 083,Savassi,Ashleechester,ME,1027.3699218749423,1286810188,Pharmacologist,001-453-327-9498x00346,001-568-558-8590x7427,2022-09-04,10,2048-02-12,12,CCusto2,Financeiro,Setor C,Tipo1,2013-10-02,2046-01-22,15:08:28,23:23:58,Não,308-87-4551,Plano C,Good personal trouble present experience.,2010-12-13,5566958713712102,Sim,Operadora2
Exame Laboratorial,Nathan Berry DDS,751-86-8279,F,1950-11-05,2020-03-21,Donna Mccullough,Viúvo(a),Filho(a),Não,3264569,596518932940896,9876543210987654,egarcia@example.net,53569,91799 Charles Ford,25628,Suite 107,Savassi,Tammyfurt,VT,4701.324971792216,8549285739,Ergonomist,805.831.0009x1519,(423)589-6740x900,2010-10-15,5,2084-11-18,1,CCusto3,Financeiro,Setor C,Tipo1,2001-07-22,2073-08-18,07:42:49,12:32:05,Sim,088-04-0352,Plano C,International push line enjoy second million unit.,2007-08-22,9484482674066190,Sim,Operadora1
Odontologia,Stephanie Sharp,012-96-1761,F,1920-05-01,2005-04-15,Angela Sullivan,Solteiro(a),Filho(a),Sim,2408176,8980457876438680,1234567890123456,kyates@example.com,86385,73540 Alvarez Hills,194,Suite 828,Centro,Adrianmouth,PA,4122.347797929482,4078539309,Airline pilot,+1-847-995-5750x1444,(625)870-0361x42241,2014-12-19,7,2059-07-31,11,CCusto2,Vendas,Setor C,Tipo2,2019-11-07,2035-08-31,11:38:53,12:04:11,Não,608-10-5980,Plano B,Today look grow light film provide would.,2004-10-02,3494879177860805,Não,Operadora3
Exame Laboratorial,Marc Richards,780-41-5613,M,1947-07-30,2012-09-20,Victor Martinez,Viúvo(a),Filho(a),Não,2940060,2237017489495120,9876543210987654,cherylrobbins@example.com,24569,113 Peterson Alley,0270,Suite 402,Moinhos de Vento,Mariabury,NE,1254.7466233900768,1365006772,Counselling psychologist,3036476410,449.266.0127x892,2014-09-26,10,2069-10-25,2,CCusto3,Recursos Humanos,Setor A,Tipo2,2000-01-11,2053-01-04,11:56:01,14:23:53,Não,377-87-4844,Plano C,Inside stage garden how image.,2022-11-13,4820508427899809,Não,Operadora2
Odontologia,Anne Anderson,635-44-3585,F,2013-03-23,2003-03-08,Brittney Brown,Casado(a),Cônjuge,Sim,4040969,4900798999447174,9876543210987654,isaacduncan@example.org,28849,2839 Matthew Dale Apt. 625,21541,Apt. 588,Moinhos de Vento,Mckenzieland,MD,2832.223995059978,138284473,Stage manager,693.934.3354x7380,(246)329-3789x83870,2017-03-12,7,2094-09-16,6,CCusto3,Recursos Humanos,Setor A,Tipo1,2006-06-04,2060-05-07,00:40:27,15:05:36,Não,655-62-5458,Plano C,Development compare budget.,2000-01-25,1716216841375094,Não,Operadora3
Odontologia,Jamie Holland,397-90-8044,F,1973-08-09,2003-07-17,Linda Martinez,Solteiro(a),Filho(a),Sim,5934375,8288365309824609,1234567890123456,richard97@example.net,77766,80254 Anthony Bypass,8462,Apt. 465,Moinhos de Vento,Jeffreyshire,DC,2554.1935784207744,2475624598,Research scientist (maths),001-979-574-5633,777-393-7437,2003-05-11,3,2065-03-07,6,CCusto1,Financeiro,Setor C,Tipo2,2015-08-05,2047-09-29,18:08:07,15:49:03,Não,147-88-0302,Plano C,Perhaps new course thought people.,2006-12-07,4374909310705924,Não,Operadora1
Consulta Médica,Tiffany Smith,323-75-1457,M,1914-07-16,2021-06-29,Michael Sanchez,Solteiro(a),Mãe,Não,4535836,302058986489958,1234567890123456,whiteelizabeth@example.org,58999,6800 Alec Prairie,806,Suite 231,Copacabana,Lake Joseph,ND,4657.931114429719,706496852,"Designer, television/film set",+1-628-426-1912x9559,+1-901-784-6732x433,2000-08-22,1,2066-08-16,5,CCusto2,Recursos Humanos,Setor B,Tipo2,2008-10-12,2028-03-10,14:26:13,04:04:29,Não,465-68-7993,Plano C,Behind position know hope green least final.,2005-04-08,8305645015631359,Sim,Operadora2
Exame Laboratorial,James Turner,864-59-7895,F,1908-03-16,2023-02-18,Sarah King,Viúvo(a),Filho(a),Não,7840024,4687341179987568,9876543210987654,angela55@example.org,81833,7788 Stephanie Springs,6642,Suite 720,Moinhos de Vento,Lopezton,OH,3676.548744112289,8221869028,Fashion designer,748.416.1726x239,632.475.9804x37921,2010-08-23,8,2040-02-06,2,CCusto3,Financeiro,Setor A,Tipo2,2021-09-24,2035-09-12,17:12:53,04:34:25,Sim,198-22-5212,Plano B,Republican voice computer wall.,2013-05-22,4644476008931437,Não,Operadora1
Exame Laboratorial,Sherry Johnson,560-83-2955,M,2022-02-07,2014-03-03,Stacey Carrillo,Solteiro(a),Pai,Sim,8234428,1511408801489655,1234567890123456,hmartinez@example.net,47315,0576 Campbell Centers,2240,Suite 229,Moinhos de Vento,Clairechester,CT,3960.0599818888973,2554187522,Mental health nurse,206-236-0376x09722,969.252.9264,2009-06-25,5,2091-03-06,7,CCusto3,Recursos Humanos,Setor B,Tipo3,2019-07-03,2072-12-25,06:19:23,19:37:27,Não,090-30-3730,Plano B,Read thus task cultural seat bed for write.,2005-07-28,35049001094371,Não,Operadora1
Consulta Médica,Jay Smith,508-16-8114,F,2000-12-22,2004-10-01,Lisa Ramirez,Casado(a),Cônjuge,Não,3155869,3270814956957737,1234567890123456,nadams@example.com,98914,9696 Hayden Greens,1736,Apt. 218,Copacabana,Lindaville,WI,4870.743372689945,5868061065,Lexicographer,+1-248-222-3452x733,001-207-676-2878x864,2012-11-16,8,2072-09-05,5,CCusto1,Financeiro,Setor A,Tipo3,2017-12-17,2028-04-12,10:17:28,01:36:23,Sim,054-05-5880,Plano C,Notice former just accept sing.,2016-09-28,1040313636928784,Não,Operadora1
Consulta Médica,Kevin Ross,234-09-5519,M,1998-09-01,2018-07-13,Derrick Logan,Solteiro(a),Filho(a),Não,4956809,1177230244355735,1234567890123456,kochbrittany@example.com,39506,79967 Blair Gardens,4147,Apt. 908,Moinhos de Vento,North Kennethshire,OK,2996.1435726926084,952550507,Jewellery designer,879-795-0587x939,5309556041,2018-05-02,5,2076-10-08,8,CCusto1,Recursos Humanos,Setor C,Tipo2,2021-02-11,2067-03-22,03:12:44,04:13:38,Sim,017-75-6380,Plano C,Record improve campaign lead.,2003-08-05,6193759193043488,Sim,Operadora3
Exame Laboratorial,Jacob Salazar,271-02-6612,M,1927-04-12,2019-11-11,Robert Butler,Viúvo(a),Filho(a),Sim,6834329,4773728341837656,9876543210987654,ericksonmichael@example.com,21816,22451 Jessica Inlet,4898,Suite 310,Centro,Michealchester,CA,3349.636528693924,3061140920,Media planner,+1-990-317-7672x63615,+1-761-695-3929x31671,2011-10-03,6,2041-01-10,11,CCusto2,Financeiro,Setor C,Tipo1,2002-08-26,2031-01-11,18:50:02,12:27:00,Não,313-55-7657,Plano C,Someone name example part upon stage never.,2003-03-19,3691305782753216,Não,Operadora2
Consulta Médica,Katherine Brady,776-86-4350,M,1917-07-06,2001-07-24,Russell Ross,Viúvo(a),Filho(a),Sim,4918212,8622222967178833,9876543210987654,michaelalvarez@example.net,72548,0466 Steele Plains,9812,Suite 855,Savassi,Lake Jesus,MD,4271.635396880524,4263438889,Human resources officer,5902692545,001-449-320-0440x99715,2015-08-22,5,2039-04-04,6,CCusto2,Recursos Humanos,Setor C,Tipo1,2009-04-04,2034-01-02,23:11:48,06:00:23,Sim,808-64-9681,Plano C,Mean probably professor still than never.,2012-03-11,2025752373332322,Sim,Operadora3
Exame Laboratorial,Darrell Carson,392-22-9895,F,1952-10-20,2015-05-07,Tony Diaz,Casado(a),Mãe,Sim,4788753,1194000236014120,1234567890123456,ronaldnelson@example.org,11878,518 Atkins Tunnel,066,Suite 961,Copacabana,East Patricia,NE,4880.197387623783,1909125690,Location manager,(962)770-7881x988,(345)324-4758x22616,2007-10-12,7,2039-07-24,4,CCusto1,Recursos Humanos,Setor C,Tipo1,2003-11-16,2072-09-21,21:06:06,19:24:29,Não,083-37-2817,Plano C,Must knowledge model identify outside base.,2004-02-14,4895603902991247,Não,Operadora1
Odontologia,Pamela Case,313-14-7837,F,1990-06-15,2008-02-11,James Bowen,Solteiro(a),Pai,Sim,8530060,8123950810323941,9876543210987654,qsims@example.net,82079,578 Kimberly Port Suite 092,0571,Apt. 121,Copacabana,Millerside,NE,3232.0733337181246,6791849122,"Chemist, analytical",279-716-8321,570-942-5490x833,2003-03-30,10,2073-04-30,3,CCusto2,Vendas,Setor C,Tipo1,2010-09-05,2042-12-28,21:55:09,03:24:23,Não,375-75-3524,Plano C,Former ten civil degree.,2015-03-13,2404252222933612,Não,Operadora1
Odontologia,Douglas Marquez,331-44-6473,F,2016-01-30,2017-06-18,Joseph Meyers,Solteiro(a),Mãe,Não,4026054,6829184785891575,9876543210987654,jill36@example.net,91858,98026 Swanson Greens,9468,Apt. 759,Centro,South Rhonda,CA,4901.207839267081,864871068,Editorial assistant,001-389-458-9238x7730,5363982355,2017-02-07,3,2088-03-23,6,CCusto3,Recursos Humanos,Setor B,Tipo2,2004-08-28,2038-10-23,01:49:09,01:27:25,Não,069-94-8595,Plano B,Drive current general once matter same serious which.,2014-04-03,8120027951523593,Não,Operadora1
Consulta Médica,Melissa Nelson,005-95-1741,F,1944-12-22,2021-07-22,Kylie Jackson,Solteiro(a),Filho(a),Não,5935032,4938583751826308,1234567890123456,brian66@example.com,21872,90111 Gonzalez Garden Suite 710,37939,Suite 967,Savassi,South Jeremychester,ME,2599.9850857819747,3628163739,Higher education careers adviser,(633)920-6678x6149,261.867.5907,2018-08-10,2,2053-12-12,10,CCusto1,Vendas,Setor C,Tipo1,2011-11-10,2048-09-02,23:18:26,01:25:32,Sim,230-66-3372,Plano C,Probably yeah performance lead successful bit.,2014-01-23,1979686414979398,Não,Operadora3
Odontologia,Kathleen Cook,277-84-9531,F,1916-12-08,2019-04-08,Lisa Huang,Viúvo(a),Mãe,Sim,3453587,6017403519798397,1234567890123456,ronaldcarson@example.net,58603,47662 Thomas Crest,323,Suite 192,Moinhos de Vento,Benjaminburgh,CO,2622.0577887909503,1104053319,Product/process development scientist,7092822943,996.868.3741x91028,2018-02-08,6,2090-01-11,12,CCusto2,Financeiro,Setor C,Tipo1,2021-10-13,2075-06-09,17:55:29,06:03:30,Sim,352-76-0028,Plano B,General about future dream north recent he.,2005-02-14,3679471826381955,Sim,Operadora1
Consulta Médica,Miranda Garcia,164-25-7674,M,1986-11-24,2009-10-31,Diane Moore,Viúvo(a),Filho(a),Não,4939831,6449674254871653,9876543210987654,saunderseric@example.com,70762,88503 Marsh Circle Apt. 351,06335,Apt. 597,Centro,Mariaton,AK,4218.271050059159,8080792819,"Journalist, broadcasting",+1-793-892-9422x9278,(461)442-4784,2014-12-31,3,2057-02-18,6,CCusto3,Financeiro,Setor B,Tipo3,2023-01-03,2060-12-22,00:39:58,20:29:18,Não,428-20-0588,Plano B,Former development available it direction daughter reason.,2013-09-19,6307773203085754,Não,Operadora2
Consulta Médica,Dylan Rodriguez,335-86-5561,F,1938-08-09,2016-02-11,Keith Miller,Solteiro(a),Pai,Sim,9573711,7616154580597348,9876543210987654,donna43@example.com,20041,028 Bush Walks Suite 701,0584,Apt. 709,Moinhos de Vento,South Joshuahaven,OK,4268.893768501077,2163891239,Print production planner,959-982-7799x369,624-875-7014,2006-02-26,2,2028-02-20,5,CCusto1,Vendas,Setor C,Tipo1,2018-06-22,2024-02-05,16:30:23,22:27:07,Sim,099-44-7593,Plano A,Name effect art stand certain yes.,2004-10-16,696180614445592,Não,Operadora2
Exame Laboratorial,Justin Green,691-61-3996,M,1947-10-03,2000-03-31,Russell Turner,Casado(a),Pai,Sim,982190,8083336193606261,9876543210987654,christopher39@example.net,70283,145 Turner Harbor,962,Apt. 878,Centro,Mcbridemouth,OK,3053.4634543189327,6956993268,Biomedical engineer,284-926-9972x2485,(353)369-1657x58816,2008-07-11,6,2091-05-10,11,CCusto1,Vendas,Setor A,Tipo1,2020-08-27,2047-06-10,00:05:43,20:31:39,Não,544-50-4461,Plano C,Right easy box itself outside.,2008-07-21,2519196805362574,Não,Operadora3
Consulta Médica,Angela Perez,696-07-9169,F,1932-07-12,2012-02-01,Anthony Koch,Viúvo(a),Mãe,Sim,8881477,5999046301452792,9876543210987654,tcampbell@example.org,68332,19687 John Points Apt. 078,1763,Suite 008,Moinhos de Vento,Maryburgh,KY,3324.636218865705,4491679621,Forensic scientist,658.236.5964x90209,001-575-933-7728x327,2012-09-26,9,2091-06-21,9,CCusto2,Financeiro,Setor A,Tipo3,2000-10-03,2098-11-18,00:56:23,01:28:09,Não,427-67-5942,Plano C,Tough single fish ready role.,2003-09-19,3439855030693255,Sim,Operadora2
Consulta Médica,Grant Riley,234-04-1194,F,2014-12-01,2008-12-17,Carol Wilson,Solteiro(a),Cônjuge,Sim,1529150,6465039389146138,1234567890123456,mdavis@example.net,64914,0298 Carl Island,042,Apt. 041,Centro,Port Brianshire,AL,3984.198431644645,6330381278,"Programmer, systems",+1-673-320-6566x61438,(723)737-0542x9187,2000-06-12,10,2063-02-01,9,CCusto2,Financeiro,Setor B,Tipo2,2017-08-03,2095-02-09,15:40:10,01:40:18,Não,218-04-2336,Plano A,Catch film rule quickly cover media.,2022-07-15,6764665356930757,Não,Operadora2
Consulta Médica,Matthew Allen,087-53-5029,M,1911-04-11,2021-11-14,David Cordova,Solteiro(a),Filho(a),Sim,8619917,9711419439798100,9876543210987654,mary80@example.net,30003,59280 Amber Glens,50120,Suite 873,Centro,Zacharyton,AL,3655.104679913704,6908525076,"Designer, textile",001-266-798-8719x79861,(708)940-9898,2022-02-27,4,2029-11-08,6,CCusto2,Recursos Humanos,Setor B,Tipo3,2010-05-16,2095-11-06,05:35:41,01:11:33,Sim,473-59-7825,Plano C,Throw wear necessary part year.,2000-02-16,589432912137543,Sim,Operadora1
Odontologia,Adam Salinas,392-63-1733,F,1952-12-10,2013-03-26,Adrian Jones,Viúvo(a),Mãe,Sim,2235183,9971577738155379,1234567890123456,thammond@example.com,18958,423 Matthew Points Suite 597,7562,Apt. 601,Moinhos de Vento,West Lisabury,AR,4813.14556385498,7022285345,Pensions consultant,747-373-1683,295.495.2636,2005-01-08,7,2070-05-24,8,CCusto3,Vendas,Setor A,Tipo2,2009-09-24,2027-10-24,16:19:16,08:05:12,Sim,629-43-5826,Plano C,However election both.,2010-12-05,8193665053905268,Sim,Operadora1
Consulta Médica,Karen Williamson,003-69-4062,F,1990-01-13,2002-07-13,Maria Butler,Solteiro(a),Mãe,Sim,954932,670887914417530,9876543210987654,humphreykelly@example.com,62443,5316 Young Freeway Apt. 462,425,Apt. 889,Savassi,New Kristenshire,FM,3045.9250502934374,7535943116,Warden/ranger,+1-543-778-0508x05867,+1-257-354-1355x03058,2022-03-07,3,2053-01-28,9,CCusto3,Financeiro,Setor B,Tipo1,2002-08-15,2031-12-23,21:29:32,08:38:15,Não,640-75-8695,Plano A,Million development up challenge.,2023-01-06,2056017261864119,Sim,Operadora3
Consulta Médica,Michael Foley,339-27-8085,F,1949-05-20,2005-04-27,Holly Moore,Viúvo(a),Filho(a),Não,715073,4065194518326590,1234567890123456,heather90@example.net,84422,82895 Victor Circles,23102,Suite 393,Centro,Port Melissa,MT,1466.1541683021526,7477712742,Barrister's clerk,811-402-1501,+1-578-670-5964x411,2001-04-15,3,2030-06-10,10,CCusto1,Recursos Humanos,Setor A,Tipo1,2006-01-13,2032-03-24,09:05:31,15:04:45,Não,055-46-8434,Plano C,Want charge game any work return.,2001-09-13,3930701928492280,Não,Operadora3
Consulta Médica,Natalie Cabrera,388-65-5165,F,1971-02-11,2003-12-26,Theresa Watts,Casado(a),Pai,Sim,6666203,7124222262316166,1234567890123456,ghicks@example.net,25433,2083 Guzman Creek Suite 238,76342,Suite 303,Moinhos de Vento,Lake Robinmouth,NM,4376.598487492469,4694154064,Nutritional therapist,234.394.4591x917,001-947-404-4136x38875,2010-04-25,1,2060-08-03,5,CCusto3,Vendas,Setor A,Tipo2,2014-10-04,2052-09-08,13:20:19,20:50:15,Não,545-29-7202,Plano C,You power deal.,2012-02-04,1852371019055309,Não,Operadora1
Odontologia,Steven Mckenzie,690-46-5719,M,1996-03-24,2002-05-17,Wesley Powell,Casado(a),Pai,Sim,7736235,8698611816544364,1234567890123456,salinasannette@example.com,06661,0253 Michael Grove,775,Apt. 550,Savassi,Lake Benjamin,OR,2581.4738977000607,8127907393,Risk manager,980-273-4953x9895,(992)569-4849,2014-12-09,6,2028-04-08,12,CCusto3,Recursos Humanos,Setor A,Tipo1,2020-06-06,2040-06-14,03:42:24,01:30:33,Sim,377-24-1904,Plano B,Camera animal idea admit.,2010-08-29,2091290279440047,Sim,Operadora3
Exame Laboratorial,Robyn Dominguez,189-14-9278,M,1964-04-30,2014-12-20,Jackie Dixon,Solteiro(a),Mãe,Não,494117,4166151418766973,9876543210987654,oevans@example.org,02756,80082 Valdez Spur,61900,Apt. 732,Moinhos de Vento,South Amandaland,ID,2792.3713034336915,970510559,Advertising account planner,585-307-5488,001-301-256-7581x59080,2013-10-18,5,2094-01-22,3,CCusto2,Vendas,Setor A,Tipo3,2001-12-29,2036-01-08,06:01:12,08:49:27,Sim,726-43-9284,Plano A,Range performance song firm.,2023-04-10,4053644607934383,Não,Operadora2
Odontologia,Francis Lewis,017-67-5567,M,1953-06-28,2004-12-28,Michelle Turner,Viúvo(a),Filho(a),Sim,7341243,4282416933869082,9876543210987654,marybenton@example.net,19583,19166 Gomez Circles,67469,Suite 820,Savassi,Williamsfort,CT,4721.0852797105945,8615866002,"Journalist, newspaper",001-228-689-4356,001-668-962-7376x833,2016-12-01,10,2099-05-17,3,CCusto1,Financeiro,Setor B,Tipo3,2005-12-14,2076-08-04,23:53:44,01:51:31,Sim,450-14-2088,Plano A,True strategy real difference hold.,2021-08-09,803403403982139,Sim,Operadora3
Consulta Médica,April Harrell,174-01-1619,F,1951-01-05,2021-11-12,Carl Lee,Solteiro(a),Mãe,Sim,774500,1643710156006813,9876543210987654,heatherrogers@example.com,93917,006 Williams Curve Suite 353,477,Suite 917,Moinhos de Vento,Port Nicholas,FL,3230.971774455853,5406589842,Forensic psychologist,+1-443-529-0530x2896,544.784.5378x73231,2006-07-07,6,2082-05-30,6,CCusto1,Recursos Humanos,Setor C,Tipo3,2020-11-06,2092-12-13,09:06:23,17:09:22,Não,569-47-4083,Plano C,Window senior coach difference when.,2020-05-08,7524178408438002,Sim,Operadora2
Consulta Médica,Christina Holland,570-77-5421,M,1923-03-04,2019-03-20,Stephanie French,Solteiro(a),Filho(a),Sim,4320496,3712084869466413,1234567890123456,stephensjill@example.net,72499,249 Joseph Mall Apt. 737,796,Suite 429,Savassi,Robertview,RI,1415.5721035742527,5411226306,Chief of Staff,347-943-5976,5782731211,2009-12-25,3,2028-07-30,5,CCusto3,Vendas,Setor C,Tipo2,2012-03-16,2072-12-27,18:32:35,09:21:26,Não,545-26-4462,Plano C,Research exist itself relationship yes court.,2000-07-06,3489177196564647,Sim,Operadora3
Consulta Médica,Gabriel Murphy,088-41-6322,F,2006-01-13,2002-09-15,Thomas Wiley,Viúvo(a),Mãe,Não,2705216,1219706517192270,9876543210987654,owenstimothy@example.com,86121,435 Leonard Flats Suite 565,48388,Suite 260,Centro,Annburgh,WA,3790.533544677708,7037284016,Product/process development scientist,(462)952-0645x6234,001-879-606-3214x0137,2006-08-05,6,2037-05-01,4,CCusto3,Recursos Humanos,Setor C,Tipo3,2022-03-12,2095-05-24,16:44:32,11:25:21,Sim,049-63-3220,Plano A,Who far attack and fund white.,2001-05-01,2539641326589307,Sim,Operadora2
Exame Laboratorial,Dawn Smith,036-97-2084,F,2014-04-14,2014-09-18,Derek Davis,Viúvo(a),Pai,Não,710988,661216488983941,1234567890123456,gmcguire@example.com,63011,61661 Avila Stream Apt. 396,5800,Apt. 817,Copacabana,Lake Stephen,CA,1664.681752211075,9197232261,Occupational hygienist,3219617322,(582)322-5450x95588,2012-02-06,6,2061-04-22,3,CCusto1,Vendas,Setor C,Tipo1,2004-08-12,2057-10-11,07:44:23,09:47:00,Não,623-02-6560,Plano B,Opportunity goal level little start clearly.,2017-10-04,5705796583941145,Sim,Operadora1
Exame Laboratorial,Jessica Stout,040-40-7453,M,2011-10-24,2011-03-20,Adam Hall,Casado(a),Pai,Não,7708246,7925202971529585,9876543210987654,zachary17@example.com,95702,537 Carlson Prairie Apt. 158,4042,Suite 015,Moinhos de Vento,East Anthony,AZ,3895.108344036735,6554196604,Arboriculturist,301.711.8683x0538,219-322-8674,2011-06-10,5,2026-09-30,9,CCusto1,Financeiro,Setor A,Tipo3,2013-11-30,2073-02-16,22:10:02,22:36:11,Não,531-39-9774,Plano C,Fish individual style.,2011-07-13,3084981924223055,Não,Operadora1
Exame Laboratorial,Kimberly Watts,773-07-3061,F,1937-08-26,2011-02-07,Susan Smith,Viúvo(a),Mãe,Não,58222,9331587286521266,9876543210987654,xguerrero@example.com,73359,31677 Julia Fort Apt. 308,440,Suite 037,Centro,Brownland,IN,2693.7266612972785,1200722962,English as a foreign language teacher,982.864.1057,(383)679-9625x307,2010-12-20,4,2091-03-25,5,CCusto2,Financeiro,Setor B,Tipo2,2012-01-03,2095-07-17,07:37:21,12:25:38,Sim,261-79-3048,Plano B,Prepare radio former help outside themselves.,2013-02-18,2661694672999426,Sim,Operadora2
Odontologia,Lisa Johnson,510-93-8274,M,1944-11-20,2019-07-07,Thomas Christian,Casado(a),Cônjuge,Sim,3405196,4764408053745421,1234567890123456,carolynrojas@example.org,85304,920 Mayer Springs Suite 708,5631,Apt. 400,Savassi,Youngland,NV,1356.6820437984625,177134101,"Clinical scientist, histocompatibility and immunogenetics",001-373-393-3369x79190,324.291.1595,2004-02-14,3,2034-11-05,5,CCusto3,Financeiro,Setor A,Tipo1,2014-12-22,2078-03-19,23:59:36,16:37:05,Não,704-21-3719,Plano A,Painting change spring drop newspaper herself keep certain.,2002-12-17,9099746248288739,Não,Operadora3
